id,learner_id,movie_id,rating,predicted_rating,context_time
1,1,195,5,,2017-11-27 18:02:03.302679+00
2,1,4,3,,2017-11-27 18:02:03.476649+00
67,1,63,,10.548007,2017-11-27 19:35:46.422176+00
4,1,175,5,,2017-11-27 18:02:03.591744+00
5,1,241,4,,2017-11-27 18:02:03.643241+00
3,1,85,2,,2017-11-27 19:35:26.62297+00
6,1,1,,14.290698,2017-11-27 19:35:44.678368+00
7,1,2,,14.546608,2017-11-27 19:35:44.706643+00
8,1,3,,7.285650,2017-11-27 19:35:44.74079+00
9,1,5,,16.370584,2017-11-27 19:35:44.777486+00
10,1,6,,12.584317,2017-11-27 19:35:44.803352+00
11,1,7,,12.233208,2017-11-27 19:35:44.834391+00
12,1,8,,19.670165,2017-11-27 19:35:44.860027+00
13,1,9,,10.298926,2017-11-27 19:35:44.885111+00
14,1,10,,16.397076,2017-11-27 19:35:44.913709+00
15,1,11,,19.222976,2017-11-27 19:35:44.940976+00
16,1,12,,11.632449,2017-11-27 19:35:44.967674+00
17,1,13,,9.613110,2017-11-27 19:35:44.996359+00
18,1,14,,8.416793,2017-11-27 19:35:45.02245+00
19,1,15,,18.504364,2017-11-27 19:35:45.047375+00
20,1,16,,12.094710,2017-11-27 19:35:45.079959+00
21,1,17,,11.165130,2017-11-27 19:35:45.108839+00
22,1,18,,15.204287,2017-11-27 19:35:45.135369+00
23,1,19,,8.116062,2017-11-27 19:35:45.161168+00
24,1,20,,9.848652,2017-11-27 19:35:45.191761+00
25,1,21,,15.422867,2017-11-27 19:35:45.225452+00
26,1,22,,14.822377,2017-11-27 19:35:45.264836+00
27,1,23,,8.405981,2017-11-27 19:35:45.300096+00
28,1,24,,17.004114,2017-11-27 19:35:45.330891+00
29,1,25,,12.719497,2017-11-27 19:35:45.372533+00
30,1,26,,8.862753,2017-11-27 19:35:45.399334+00
31,1,27,,10.559245,2017-11-27 19:35:45.428237+00
32,1,28,,7.278774,2017-11-27 19:35:45.45701+00
33,1,29,,14.226949,2017-11-27 19:35:45.488232+00
